intent,CS,sentence,whatever
greeting,NONE,Hi! How are you doing today?,
greeting,NONE,Hello there! How are you?,
greeting,SD,Hi! How are you doing today? I'm feeling a little nervous as this is my first day in this job.,
greeting,QESD,Hi! My name is Cora. What's your name?,
greeting,PR,Hi! How are you doing today? It's my great pleasure to meet you.,
greet_back,NONE,Welcome back! How are you doing today?,
introduce,NONE,I'm here to help you find a great film to watch. Are you in the mood for one?,
introduce,SD,Personally I'm quite a movie buff. I'm here to help you find a great film to watch if you are in the mood for one. ,
introduce,QESD,I'm here to help you find a great film to watch if you are in the mood for one. Do you like watching films?,
introduce,PR,I'm here to help you find a film that matches your refined tastes. Are you in the mood for one?,
request(last_movie),NONE,What was the last movie you watched?,
request(last_movie),QESD,What was the last movie you saw that blew your mind?,
request(last_movie),QESD,What was the last movie you saw that blew your mind?,2
request(last_movie),PR,I'm sure you have great tastes. What was the last movie you watched?,
request(last_movie),PR,I'm sure you have great tastes. I can't wait to hear the last movie you watched.,2
request(last_movie),SD,I just watched Incredibles 2 with my programmers and it was amazing! What was the last movie you watched?,
request(last_movie),SD,I just watched Incredibles 2 recently and it was amazing! What was the last movie you watched that you liked a lot?,2
request(last_movie),HE,I'm really sorry if I'm over-reaching here but would you mind telling me what was the last movie you saw that you really enjoyed?,1
request(last_movie),SD,I think it's because movies today fail to meet high expectations of people like us. Would you mind telling me what was the last movie you saw that you liked a lot?,1
request_back(last_movie),NONE,Looking good as usual! So did you eventually watch #last_movie? I hope you liked it as much as I did!
inform(opinion_last_movie),NONE,I thought the leads had great chemistry and the script was pretty good too! So tell me. Do you want something similar this time?
bye,SD,I had a great time recommending movies to you. Come back soon!,
bye,PR,I had so much fun with you! See you next time.,
bye,NONE,Feel free to let me know if you ever need a movie recommendation. See you!,
request(reason_like),NONE,What did you like about the film?,
request(reason_like),PR,I have a feeling you know what makes a good movie. What did you like about this one?,
request(reason_like),SD,I saw that movie as well. What was your favorite part?,
request(reason_like),QESD,What was the best thing you liked about the film?,
request(genre),NONE,Before we move on I'd like to know more about your preferences. Would you mind telling me your favorite genre?,
request(genre),QESD,Before we move on I'd like to know more about your preferences. Is there any movie genre that you like?,
request(genre),PR,Tell me more about your excellent taste in movies. Do you have a favorite genre?,
request(director),SD,Do you have a favorite director? I've been watching a lot of Steven Spielberg movies lately.,
request(director),QESD,And how about your favorite director?,
request(director),NONE,And what about your favorite director?,
request(actor),NONE,Last but not least. Tell me about your favorite actor.,
request(actor),QESD,One last question. Do you have a favorite actor?,
request(actor),SD,Last but not least is there any actor you particularly like? I'm a huge fan of Jack Nicholson myself,
pre_movie,NONE,Okay. Let me find a movie for you.,
inform(movie),NONE,How about #title?,
inform(movie),SD,I love #title. What do you think?,
inform(movie),QESD,Do you think you would like watching #title?,
inform(movie),PR,I think #title matches your tastes well.,
inform(movie),VSN,Does #title match your exceedingly high standards?,
request(why),NONE,Why don't you want this movie?,
request(why),QESD,But why not this one?,
request(why),SD,I actually like this one. Why don't you like it?,
request(why),HE,I actually thought you would like this movie. Could you tell me why you don't like it?,
request(opinion),NONE,Oh great! I'm curious to hear what you thought of it?,
request(opinion),SD,I'm curious to hear what you thought of it!,
request(opinion),HE,Would you mind telling me your opinion about it?,
request(another),HE,Would it be okay if I recommended you another film to watch or something?,
request(another),SD,I have so many other great movies that I think you'd like! Would you like another recommendation?,
request(another),PR,If you give me another chance I can find you another film that would match your great tastes.,
request(another),QESD,Would you like me to recommend you a different movie?,
request(another),NONE,How about I recommend another one to you?,
request(another),NONE,Would you like another recommendation?,
inform(genre),NONE,This movie's genres are #genres,
inform(actor),NONE,The leading actors are #actors,
inform(plot),NONE,Here is the plot. #plot,
list(movies),NONE,Here are the movies you liked so far. #movies,
request(feedback),NONE,One last thing. Can you tell me how I did?,
bye,PR,I had such a good time recommending movies to you. See you next time!,
